170,00:14:23,20.74,50.92,102.23
171,00:14:28,20.74,51.07,102.23
172,00:14:34,20.73,50.93,102.23
173,00:14:39,20.71,50.83,102.23
174,00:14:44,20.72,50.74,102.23
175,00:14:49,20.72,50.75,102.23
176,00:14:54,20.70,51.02,102.23
177,00:14:59,20.70,51.11,102.23
178,00:15:04,20.70,50.92,102.23
179,00:15:09,20.72,51.03,102.23
180,00:15:14,20.71,51.19,102.23
181,00:15:19,20.71,51.02,102.23
182,00:15:24,20.70,51.19,102.23
183,00:15:29,20.73,53.53,102.23
184,00:15:34,20.73,53.53,102.23
185,00:15:39,20.73,52.78,102.23
186,00:15:44,20.73,52.17,102.23
187,00:15:49,20.76,51.73,102.23
188,00:15:54,20.77,51.77,102.23
189,00:16:00,20.78,51.67,102.23
190,00:16:05,20.78,51.50,102.23
191,00:16:10,20.78,51.66,102.23
192,00:16:15,20.75,51.82,102.23
193,00:16:20,20.75,52.74,102.23
194,00:16:25,20.76,53.22,102.23
195,00:16:30,20.71,54.75,102.23
196,00:16:35,20.71,54.23,102.23
197,00:16:40,20.72,53.31,102.23
198,00:16:45,20.70,52.58,102.23
199,00:16:50,20.71,51.82,102.23
200,00:16:55,20.69,51.42,102.23
201,00:17:00,20.69,51.38,102.23
202,00:17:05,20.69,51.44,102.22
203,00:17:10,20.71,52.08,102.23
204,00:17:15,20.69,52.14,102.23
205,00:17:20,20.68,51.58,102.23
206,00:17:25,20.68,51.10,102.22
207,00:17:31,20.67,50.97,102.22
208,00:17:36,20.68,51.11,102.22
209,00:17:41,20.69,51.42,102.22
210,00:17:46,20.70,51.82,102.23
211,00:17:51,20.69,51.90,102.22
212,00:17:56,20.70,51.95,102.22
213,00:18:01,20.70,51.79,102.23
214,00:18:06,20.69,51.80,102.22
215,00:18:11,20.67,52.02,102.22
216,00:18:16,20.68,52.38,102.22
217,00:18:21,20.69,52.50,102.23
218,00:18:26,20.66,52.33,102.22
219,00:18:31,20.66,51.97,102.23
220,00:18:36,20.65,51.81,102.22
221,00:18:41,20.65,51.79,102.22
